"Threshold","Split","Model","AUC","Brier","Slope","Events","n_test"
0,1,"glmnet",0.788888888888889,0.251686820674958,1.61080801526114,18,28
0,1,"rf",0.561111111111111,0.299561497460676,0.685167921782103,18,28
0,1,"xgb",0.622222222222222,0.353684594622766,0.320769777474109,18,28
0,2,"glmnet",0.651282051282051,0.228056241230476,0.844236827113923,13,28
0,2,"rf",0.671794871794872,0.235500571428571,0.793394878117303,13,28
0,2,"xgb",0.630769230769231,0.2429877279482,0.732420546204456,13,28
0,3,"glmnet",0.612820512820513,0.25821193107555,1.43141093035867,15,28
0,3,"rf",0.779487179487179,0.220340571428571,0.94052526535941,15,28
0,3,"xgb",0.8,0.219327902689455,0.43741812646485,15,28
0,4,"glmnet",0.549479166666667,0.252117400661735,-0.701923881606608,12,28
0,4,"rf",0.546875,0.279860286150791,-0.253645342442962,12,28
0,4,"xgb",0.484375,0.356267250042381,0.0576339995001886,12,28
0,5,"glmnet",0.678571428571429,0.226656273865349,0.734638916763621,14,28
0,5,"rf",0.612244897959184,0.233722284722416,1.08982967099972,14,28
0,5,"xgb",0.693877551020408,0.255060024941196,0.381924224685941,14,28
0,6,"glmnet",0.526737967914438,0.281339038643329,-0.0111353655196284,17,28
0,6,"rf",0.614973262032086,0.269194063492063,0.446193480280642,17,28
0,6,"xgb",0.668449197860963,0.299383080271905,0.375904701198184,17,28
0,7,"glmnet",0.76530612244898,0.214662052018843,1.01448400148062,14,28
0,7,"rf",0.724489795918367,0.22538982359214,1.75895747526775,14,28
0,7,"xgb",0.678571428571429,0.312176127745181,0.234416841185463,14,28
0,8,"glmnet",0.680272108843537,0.236508456970011,0.741740461516884,7,28
0,8,"rf",0.45578231292517,0.264826208085586,0.299656634048652,7,28
0,8,"xgb",0.578231292517007,0.251981273615755,0.232566233796354,7,28
0,9,"glmnet",0.5,0.331486434142184,0.100134097302349,14,28
0,9,"rf",0.5,0.282158441062409,0.0284168369620154,14,28
0,9,"xgb",0.653061224489796,0.286124224889953,0.237562985960256,14,28
0,10,"glmnet",0.828877005347594,0.239464724884276,2.81645274037016,17,28
0,10,"rf",0.665775401069519,0.247038,0.890417034800709,17,28
0,10,"xgb",0.647058823529412,0.264685753209068,0.472062772969808,17,28
0,11,"glmnet",0.6524064171123,0.220105440105394,0.839496803065515,11,28
0,11,"rf",0.796791443850267,0.182799146825397,1.73530478144306,11,28
0,11,"xgb",0.775401069518717,0.239755708325289,0.384187602633564,11,28
0,12,"glmnet",0.583333333333333,0.246565876831851,0.423592496836463,10,28
0,12,"rf",0.611111111111111,0.230111857142857,0.499433873559429,10,28
0,12,"xgb",0.611111111111111,0.257243189884582,0.290388634519879,10,28
0,13,"glmnet",0.497076023391813,0.309281329375761,0.024003938726713,9,28
0,13,"rf",0.514619883040936,0.298056714285714,-0.0537660807161147,9,28
0,13,"xgb",0.631578947368421,0.321704397885226,0.0990081204344457,9,28
0,14,"glmnet",0.530612244897959,0.295929554488254,-0.0689264733833818,14,28
0,14,"rf",0.540816326530612,0.285504857142857,0.0936850968358338,14,28
0,14,"xgb",0.63265306122449,0.294911182890627,0.200855843008127,14,28
0,15,"glmnet",0.476923076923077,0.246574427973201,1.93338172570806,13,28
0,15,"rf",0.507692307692308,0.286709020720947,-0.0487957945163313,13,28
0,15,"xgb",0.57948717948718,0.342343581116168,0.091815192748213,13,28
0,16,"glmnet",0.566844919786096,0.238060016041834,1.51988992363061,11,28
0,16,"rf",0.655080213903743,0.251732428571429,0.242878382762361,11,28
0,16,"xgb",0.593582887700535,0.331036619699607,0.076817908270159,11,28
0,17,"glmnet",0.442708333333333,0.251691996710303,0.424866137811741,12,28
0,17,"rf",0.463541666666667,0.273310142857143,-0.0259039737165095,12,28
0,17,"xgb",0.604166666666667,0.309996519777387,0.0551686300261919,12,28
0,18,"glmnet",0.577777777777778,0.250069036554481,0.423279806695078,10,28
0,18,"rf",0.438888888888889,0.295770824919714,-0.540891014964931,10,28
0,18,"xgb",0.511111111111111,0.314209277263163,0.0786298729587612,10,28
0,19,"glmnet",0.759358288770054,0.192609821292249,1.75221707838524,11,28
0,19,"rf",0.79144385026738,0.187639071428571,2.0827332300852,11,28
0,19,"xgb",0.86096256684492,0.162390609440731,0.679156284155204,11,28
0,20,"glmnet",0.343589743589744,0.227316570090416,0.88379787087452,13,28
0,20,"rf",0.674358974358974,0.229096285714286,0.924319059690203,13,28
0,20,"xgb",0.584615384615385,0.29138516676097,0.234753108624905,13,28
-5,1,"glmnet",0.636363636363636,0.179476056232855,0.462990315757983,6,28
-5,1,"rf",0.590909090909091,0.172466537338345,0.411636538742513,6,28
-5,1,"xgb",0.598484848484849,0.19717931603942,0.185805793499173,6,28
-5,2,"glmnet",0.818181818181818,0.131427453391205,1.51098806619357,6,28
-5,2,"rf",0.666666666666667,0.172869557539683,0.719441075664162,6,28
-5,2,"xgb",0.590909090909091,0.257789058007253,0.118182982109343,6,28
-5,3,"glmnet",0.60625,0.211121600668194,0.489208426099595,8,28
-5,3,"rf",0.60625,0.200038438987183,0.742425402187416,8,28
-5,3,"xgb",0.5875,0.287525175679285,-0.102556705368458,8,28
-5,4,"glmnet",0.65625,0.187106822805669,-0.110613381689801,4,28
-5,4,"rf",0.572916666666667,0.159179033277016,-0.181453698508167,4,28
-5,4,"xgb",0.520833333333333,0.188832352684774,-0.0167887490768025,4,28
-5,5,"glmnet",0.51304347826087,0.193982293109147,0.127439435983871,5,28
-5,5,"rf",0.573913043478261,0.188405071428571,-0.0672445997330978,5,28
-5,5,"xgb",0.695652173913043,0.207237717759943,-0.548968837600185,5,28
-5,6,"glmnet",0.52,0.156796416141037,0.12784683942831,3,28
-5,6,"rf",0.54,0.165131428571429,-0.14854453297495,3,28
-5,6,"xgb",0.533333333333333,0.224186911294439,0.0542242106134884,3,28
-5,7,"glmnet",0.59375,0.222065522206457,0.131345833823085,8,28
-5,7,"rf",0.60625,0.209368274318561,0.425068426692695,8,28
-5,7,"xgb",0.74375,0.18809510344144,0.570876437002165,8,28
-5,8,"glmnet",0.770833333333333,0.119442757815086,0.83132666548057,4,28
-5,8,"rf",0.776041666666667,0.117503285714286,1.62898397954323,4,28
-5,8,"xgb",0.979166666666667,0.0560752273384093,3.50387029630395,4,28
-5,9,"glmnet",0.6,0.166679588031914,0.478974309670805,5,28
-5,9,"rf",0.804347826086957,0.142369571428571,1.80995461786242,5,28
-5,9,"xgb",0.634782608695652,0.194146222378942,0.241027761138461,5,28
-5,10,"glmnet",0.675,0.193333132060322,0.724650016393419,8,28
-5,10,"rf",0.73125,0.182597571428571,0.973140366367176,8,28
-5,10,"xgb",0.73125,0.227046306663814,0.268593055046357,8,28
-5,11,"glmnet",0.6,0.251450476703812,0.319289770826835,10,28
-5,11,"rf",0.577777777777778,0.239363924188467,0.508964126510729,10,28
-5,11,"xgb",0.622222222222222,0.269461677085202,0.226167381137303,10,28
-5,12,"glmnet",0.680272108843537,0.173198597974898,0.712724129905071,7,28
-5,12,"rf",0.564625850340136,0.206826888925019,-0.283766083776919,7,28
-5,12,"xgb",0.639455782312925,0.259785438521689,-0.206441820939583,7,28
-5,13,"glmnet",0.791666666666667,0.101611616221885,1.61174151905217,4,28
-5,13,"rf",0.880208333333333,0.115503428571429,3.01421832476842,4,28
-5,13,"xgb",0.864583333333333,0.128086470521842,0.509457145351805,4,28
-5,14,"glmnet",0.808695652173913,0.135216220961788,2.16169156329101,5,28
-5,14,"rf",0.678260869565217,0.152813828253968,0.843003295506846,5,28
-5,14,"xgb",0.721739130434783,0.131363763634049,0.682014700377527,5,28
-5,15,"glmnet",0.628787878787879,0.190975575307054,0.35679519413217,6,28
-5,15,"rf",0.643939393939394,0.159464426802951,1.18136243571538,6,28
-5,15,"xgb",0.568181818181818,0.185473141648056,0.192189058588379,6,28
-5,16,"glmnet",0.669565217391304,0.144535456638451,0.985558161073968,5,28
-5,16,"rf",0.68695652173913,0.137508026878312,1.96941642408131,5,28
-5,16,"xgb",0.747826086956522,0.154274166272023,0.296742857485826,5,28
-5,17,"glmnet",0.64375,0.197811982178366,0.677812975361015,8,28
-5,17,"rf",0.5375,0.220051055713142,0.0765120027915014,8,28
-5,17,"xgb",0.525,0.212241121494484,0.0433812015804706,8,28
-5,18,"glmnet",0.573913043478261,0.248862903944703,0.0208922957924971,5,28
-5,18,"rf",0.556521739130435,0.178613895860364,-0.589206930691099,5,28
-5,18,"xgb",0.539130434782609,0.237314376986665,0.0358432767433552,5,28
-5,19,"glmnet",0.654970760233918,0.203028978956198,0.520103934926114,9,28
-5,19,"rf",0.634502923976608,0.209873968253968,0.509632219908854,9,28
-5,19,"xgb",0.725146198830409,0.198603345312239,0.368529461963072,9,28
-5,20,"glmnet",0.583333333333333,0.192586011402695,0.341668098724867,6,28
-5,20,"rf",0.636363636363636,0.17260596020709,0.765200594579407,6,28
-5,20,"xgb",0.666666666666667,0.20289102023756,0.28962485935083,6,28
-7,1,"glmnet",0.508771929824561,0.239618393935394,-0.0170437498276294,9,28
-7,1,"rf",0.578947368421053,0.222271234644357,0.382831128872843,9,28
-7,1,"xgb",0.637426900584795,0.230787763389753,0.290451271627741,9,28
-7,2,"glmnet",0.627777777777778,0.230613054917485,0.239304433545836,10,28
-7,2,"rf",0.452777777777778,0.248068383809524,0.490020442840581,10,28
-7,2,"xgb",0.75,0.220693555739763,1.0146070966428,10,28
-7,3,"glmnet",0.479166666666667,0.14107923345056,0.00161505546547814,4,28
-7,3,"rf",0.71875,0.11575124234217,1.75857568581687,4,28
-7,3,"xgb",0.802083333333333,0.145247103685275,0.443066593500268,4,28
-7,4,"glmnet",0.773333333333333,0.109192557588131,0.830698472325644,3,28
-7,4,"rf",0.48,0.125244877409879,0.0559776956577894,3,28
-7,4,"xgb",0.586666666666667,0.170980724277618,0.0904052290919781,3,28
-7,5,"glmnet",1,0.108443295257521,42.0410234535738,1,28
-7,5,"rf",0.851851851851852,0.115511250102129,1.67594694512342,1,28
-7,5,"xgb",0.962962962962963,0.139882994369569,1.03835555848832,1,28
-7,6,"glmnet",0.65625,0.189378464269353,0.163016762639556,8,28
-7,6,"rf",0.63125,0.196107349206349,0.672587567210966,8,28
-7,6,"xgb",0.59375,0.187886891858233,0.36588563639059,8,28
-7,7,"glmnet",0.51304347826087,0.182366951301992,0.214320373793227,5,28
-7,7,"rf",0.630434782608696,0.163513428571429,0.813071596617352,5,28
-7,7,"xgb",0.695652173913043,0.204421790620609,0.168778969353901,5,28
-7,8,"glmnet",0.565217391304348,0.155311577960069,0.208576857702416,5,28
-7,8,"rf",0.4,0.167805287658406,-0.672574590922473,5,28
-7,8,"xgb",0.452173913043478,0.164666037946807,0.188613743453289,5,28
-7,9,"glmnet",0.628787878787879,0.169413930815467,0.0583052450227258,6,28
-7,9,"rf",0.659090909090909,0.166962703801425,0.585728887459613,6,28
-7,9,"xgb",0.522727272727273,0.249661782707506,-0.0325198360706602,6,28
-7,10,"glmnet",0.625850340136054,0.198222223396648,-1.24420726023221,7,28
-7,10,"rf",0.547619047619048,0.221989285714286,-0.0789828102544361,7,28
-7,10,"xgb",0.707482993197279,0.233223254973125,-0.263570648870993,7,28
-7,11,"glmnet",0.583333333333333,0.181942013465131,0.109962549820841,6,28
-7,11,"rf",0.628787878787879,0.158057139310713,1.15360226996376,6,28
-7,11,"xgb",0.598484848484849,0.172754915617933,0.351537259310639,6,28
-7,12,"glmnet",0.681818181818182,0.188282190074008,0.330767029270103,6,28
-7,12,"rf",0.477272727272727,0.204950857142857,-0.161446548149852,6,28
-7,12,"xgb",0.590909090909091,0.208727282711395,0.14944017750473,6,28
-7,13,"glmnet",0.659090909090909,0.165349784135755,0.544399063593795,6,28
-7,13,"rf",0.553030303030303,0.176929132439045,0.105147117609181,6,28
-7,13,"xgb",0.484848484848485,0.19886368604645,0.0144701916578792,6,28
-7,14,"glmnet",0.78125,0.178931842049895,0.358286250922322,8,28
-7,14,"rf",0.66875,0.197398470232459,0.691438570700815,8,28
-7,14,"xgb",0.725,0.222671152964968,0.216012147381404,8,28
-7,15,"glmnet",0.588888888888889,0.257933024729303,0.0767654084568174,10,28
-7,15,"rf",0.516666666666667,0.254778783955266,0.264932335593206,10,28
-7,15,"xgb",0.55,0.281801028086676,0.0632164966173956,10,28
-7,16,"glmnet",0.508771929824561,0.265236722261914,-0.0902081970777346,9,28
-7,16,"rf",0.584795321637427,0.237737111984127,0.243738047813146,9,28
-7,16,"xgb",0.654970760233918,0.249646257848805,0.372955967782556,9,28
-7,17,"glmnet",0.613636363636364,0.16374465673183,0.0638084642586854,6,28
-7,17,"rf",0.575757575757576,0.203548772547983,-0.074979931562982,6,28
-7,17,"xgb",0.666666666666667,0.282529324136792,-0.159697637887249,6,28
-7,18,"glmnet",0.697916666666667,0.143837342300415,1.34511821893854,4,28
-7,18,"rf",0.46875,0.162247571428571,0.146293850089925,4,28
-7,18,"xgb",0.510416666666667,0.227858612727978,0.0310182739842098,4,28
-7,19,"glmnet",0.639455782312925,0.175559132567096,0.542426792395884,7,28
-7,19,"rf",0.554421768707483,0.217516857142857,0.159432822902297,7,28
-7,19,"xgb",0.639455782312925,0.20677776271595,0.335180634488427,7,28
-7,20,"glmnet",0.856060606060606,0.182502246207987,-7.99120587286267,6,28
-7,20,"rf",0.712121212121212,0.217956410101749,-0.76776485997317,6,28
-7,20,"xgb",0.583333333333333,0.266596363483375,-0.201686887429751,6,28
-10,1,"glmnet",0.669565217391304,0.161949678076942,0.380898807056989,5,28
-10,1,"rf",0.539130434782609,0.152254857142857,0.292076155360385,5,28
-10,1,"xgb",0.608695652173913,0.158767060586282,0.242648675997969,5,28
-10,2,"glmnet",0.44,0.15684137411602,0.107630586593658,3,28
-10,2,"rf",0.493333333333333,0.132544,-0.0675307079948434,3,28
-10,2,"xgb",0.426666666666667,0.129947602682662,-0.0883281012839668,3,28
-10,3,"glmnet",0.635416666666667,0.125349476277476,0.552350907579575,4,28
-10,3,"rf",0.552083333333333,0.134902,0.224797419358901,4,28
-10,3,"xgb",0.479166666666667,0.221255225255808,-0.0439986299969037,4,28
-10,4,"glmnet",0.6375,0.208214897918821,0.173993045580033,8,28
-10,4,"rf",0.50625,0.223136237603592,0.184972174003416,8,28
-10,4,"xgb",0.5875,0.244798547028984,0.112076227694735,8,28
-10,5,"glmnet",0.653333333333333,0.102678990680554,2.84581508714371,3,28
-10,5,"rf",0.52,0.120077944444444,0.158053393742099,3,28
-10,5,"xgb",0.586666666666667,0.169191537854514,-0.105196100931141,3,28
-10,6,"glmnet",0.693333333333333,0.124115419409576,0.553502710631777,3,28
-10,6,"rf",0.54,0.1402339375,-0.0183455977456753,3,28
-10,6,"xgb",0.653333333333333,0.150559359109932,-0.119829781436034,3,28
-10,7,"glmnet",0.466666666666667,0.121356478954255,0.176675749298478,3,28
-10,7,"rf",0.546666666666667,0.123453358310457,-0.237674884812883,3,28
-10,7,"xgb",0.613333333333333,0.131590885223916,-0.0566135801107962,3,28
-10,8,"glmnet",0.583333333333333,0.169773378822974,0.421403438563609,6,28
-10,8,"rf",0.568181818181818,0.176371787350221,0.405380411253985,6,28
-10,8,"xgb",0.424242424242424,0.237822525381534,0.0962347419376729,6,28
-10,9,"glmnet",0.634615384615385,0.128799435859126,-0.262940028400497,2,28
-10,9,"rf",0.557692307692308,0.123518967813411,-0.125514696578599,2,28
-10,9,"xgb",0.538461538461538,0.159708574211649,0.0666715150054023,2,28
-10,10,"glmnet",0.575757575757576,0.166435769274342,1.67217500751093,6,28
-10,10,"rf",0.613636363636364,0.165897634920635,0.377862128091762,6,28
-10,10,"xgb",0.621212121212121,0.172150258265032,0.238577907114484,6,28
-10,11,"glmnet",0.423076923076923,0.0864238104263036,2.10337781841326,2,28
-10,11,"rf",0.5,0.115835479824162,-0.00413149615602582,2,28
-10,11,"xgb",0.711538461538462,0.160457021590648,-0.292008676282945,2,28
-10,12,"glmnet",0.515151515151515,0.171312196072509,-0.0161712753797027,6,28
-10,12,"rf",0.53030303030303,0.178571515203749,-0.161639608416813,6,28
-10,12,"xgb",0.704545454545454,0.209603898922117,0.257952580252124,6,28
-10,13,"glmnet",0.537878787878788,0.167312879612049,1.35304418672951,6,28
-10,13,"rf",0.636363636363636,0.166955035714286,0.486795409807744,6,28
-10,13,"xgb",0.590909090909091,0.206432681780933,0.139591726662544,6,28
-10,14,"glmnet",0.557823129251701,0.205805126619273,-0.0883571987023639,7,28
-10,14,"rf",0.680272108843537,0.224943218540024,-0.979644407937127,7,28
-10,14,"xgb",0.564625850340136,0.269242349741334,-0.155723994551998,7,28
-10,15,"glmnet",0.695652173913044,0.146056879754962,0.738252217822989,5,28
-10,15,"rf",0.547826086956522,0.153212142857143,0.233423637266205,5,28
-10,15,"xgb",0.504347826086956,0.171243164711953,0.0760383959171629,5,28
-10,16,"glmnet",0.560606060606061,0.22394678130688,-0.0831645709972684,6,28
-10,16,"rf",0.568181818181818,0.218460331980891,-0.272055466376868,6,28
-10,16,"xgb",0.598484848484849,0.211803434917658,0.165262033573949,6,28
-10,17,"glmnet",0.59469696969697,0.17026456480814,1.09188104772596,6,28
-10,17,"rf",0.640151515151515,0.222929081349206,-0.397869133194184,6,28
-10,17,"xgb",0.590909090909091,0.235193861733915,0.0750749514227505,6,28
-10,18,"glmnet",0.546666666666667,0.124493766557024,-0.152309378554562,3,28
-10,18,"rf",0.706666666666667,0.0979962701308323,1.40717977228687,3,28
-10,18,"xgb",0.533333333333333,0.145867308753085,-0.0370990494156766,3,28
-10,19,"glmnet",0.478260869565217,0.172154237835121,-0.306068106865849,5,28
-10,19,"rf",0.560869565217391,0.157158656984127,0.21233373921789,5,28
-10,19,"xgb",0.556521739130435,0.215880961030177,-0.109191363227998,5,28
-10,20,"glmnet",0.659090909090909,0.144654657548349,1.23715267500507,6,28
-10,20,"rf",0.727272727272727,0.149819964285714,1.00071852606329,6,28
-10,20,"xgb",0.462121212121212,0.177366758199878,0.113758545850959,6,28
