"Threshold","Model","IPCW","MICE","MNAR_d5","MNAR_d7","MNAR_d10","Comment"
-10,"glmnet","0.567 [0.207]","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: rgba(209, 255, 209, 255) !important;"" >0.664 [0.158]</span>","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: white !important;"" >0.639 [0.119]</span>","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: rgba(255, 247, 209, 255) !important;"" >0.626 [0.116]</span>","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: white !important;"" >0.630 [0.118]</span>","MICE > IPCW; MNAR robust"
-10,"rf","0.587 [0.145]","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: rgba(209, 255, 209, 255) !important;"" >0.644 [0.169]</span>","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: white !important;"" >0.614 [0.127]</span>","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: rgba(255, 247, 209, 255) !important;"" >0.619 [0.164]</span>","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: rgba(255, 209, 209, 255) !important;"" >0.582 [0.118]</span>","MICE > IPCW; decline with MNAR"
-10,"xgb","0.569 [0.183]","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: rgba(209, 255, 209, 255) !important;"" >0.663 [0.155]</span>","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: white !important;"" >0.623 [0.147]</span>","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: white !important;"" >0.614 [0.143]</span>","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: white !important;"" >0.625 [0.113]</span>","MICE > IPCW; MNAR robust"
-7,"glmnet","0.644 [0.079]","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: white !important;"" >0.629 [0.195]</span>","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: rgba(255, 247, 209, 255) !important;"" >0.616 [0.121]</span>","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: rgba(255, 247, 209, 255) !important;"" >0.632 [0.120]</span>","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: white !important;"" >0.603 [0.115]</span>","IPCW slightly better"
-7,"rf","0.607 [0.167]","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: rgba(209, 255, 209, 255) !important;"" >0.608 [0.170]</span>","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: rgba(255, 247, 209, 255) !important;"" >0.622 [0.127]</span>","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: rgba(255, 247, 209, 255) !important;"" >0.617 [0.117]</span>","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: white !important;"" >0.567 [0.084]</span>","MICE > IPCW; decline with MNAR"
-7,"xgb","0.677 [0.137]","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: white !important;"" >0.625 [0.176]</span>","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: rgba(255, 247, 209, 255) !important;"" >0.627 [0.123]</span>","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: rgba(255, 247, 209, 255) !important;"" >0.609 [0.105]</span>","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: white !important;"" >0.590 [0.084]</span>","IPCW slightly better"
-5,"glmnet","0.655 [0.159]","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: rgba(209, 255, 209, 255) !important;"" >0.671 [0.136]</span>","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: white !important;"" >0.643 [0.119]</span>","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: rgba(255, 247, 209, 255) !important;"" >0.635 [0.084]</span>","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: white !important;"" >0.632 [0.112]</span>","MICE > IPCW; decline with MNAR"
-5,"rf","0.597 [0.163]","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: rgba(209, 255, 209, 255) !important;"" >0.622 [0.169]</span>","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: rgba(255, 247, 209, 255) !important;"" >0.622 [0.125]</span>","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: rgba(255, 247, 209, 255) !important;"" >0.614 [0.099]</span>","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: white !important;"" >0.590 [0.090]</span>","MICE > IPCW; decline with MNAR"
-5,"xgb","0.654 [0.118]","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: rgba(209, 255, 209, 255) !important;"" >0.661 [0.165]</span>","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: white !important;"" >0.615 [0.116]</span>","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: white !important;"" >0.621 [0.071]</span>","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: rgba(255, 209, 209, 255) !important;"" >0.598 [0.094]</span>","MICE > IPCW; decline with MNAR"
0,"glmnet","0.660 [0.176]","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: rgba(209, 255, 209, 255) !important;"" >0.670 [0.082]</span>","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: rgba(255, 247, 209, 255) !important;"" >0.659 [0.098]</span>","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: rgba(255, 247, 209, 255) !important;"" >0.659 [0.098]</span>","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: white !important;"" >0.639 [0.097]</span>","MICE > IPCW; decline with MNAR"
0,"rf","0.579 [0.180]","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: rgba(209, 255, 209, 255) !important;"" >0.645 [0.097]</span>","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: white !important;"" >0.621 [0.098]</span>","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: rgba(255, 247, 209, 255) !important;"" >0.616 [0.128]</span>","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: white !important;"" >0.605 [0.084]</span>","MICE > IPCW; MNAR robust"
0,"xgb","0.605 [0.130]","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: rgba(209, 255, 209, 255) !important;"" >0.652 [0.089]</span>","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: rgba(255, 247, 209, 255) !important;"" >0.649 [0.094]</span>","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: rgba(255, 247, 209, 255) !important;"" >0.639 [0.125]</span>","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: white !important;"" >0.615 [0.086]</span>","MICE > IPCW; MNAR robust"
